initial,algorithm,heuristic,bound,final,score,explored,time
124123819356457245789869637213125134467673528895489679137213293256645456849879781,hill_climbing,,,124123819356457245789869637213125134467679528895384679137213253256745496849869781,-13,84,0.08749099999999999
612125829345673345789894617192125341738367256456489798213126132569734465748589789,hill_climbing,,,612125829345673345789894617192125348837467256456389791413126132569734465728589789,-11,114,0.11265100000000139
172138123345425456689679789237215195641346642895789783264123345157456967398879128,hill_climbing,,,172138123345625456689479789237215195541346632896789784264123345157456967938879218,-13,166,0.16085999999999956
231123912457956346689784785134361213586245456729789789234132418567475235918986679,hill_climbing,,,237123912451596346689784785134361213586245456729789789234152814567478235918936679,-17,130,0.13120900000000013
128291134357345256469867789124123124567467375389589698354123123961658546728749789,hill_climbing,,,128297134357345256649861789124123124567467395839589678354123123962658546718749789,-15,136,0.13640200000000036
153912246426354581789678739235123128671486364849759579124571123567239546839468789,hill_climbing,,,153912247426354581789678639235125128671486364849739579324571123567239546819468789,-15,84,0.08435300000000012
123213136945756547678489829172124361546359452839678789416253218235641374789789569,hill_climbing,,,123273135945156647678489829172124361346359452859678789716253298235641374489789561,-14,142,0.1428969999999996
125172163836345495794689782719243216234587345568691789123123124456567356789948897,hill_climbing,,,125172163836345495794689782917243216234587345568691789123123124456567356789948897,-20,46,0.04377900000000068
134192235567346164829785978124127123657368457983954896134582162567314345289679798,hill_climbing,,,134192235567346961829785478824127123657368457913954896134582162567314845289679793,-15,128,0.12706099999999942
123261712568345345479789689513216234467745651289839978234142126675367435819859789,hill_climbing,,,123261512568345347479789689513617234467245951289839678234172126675368435819459789,-10,137,0.14172599999999846
192123812435965345867748697234341547576569182819728639128534231345789745679162689,hill_climbing,,,192123812435965345867748697234341578576569142819728639128634231345789745679152689,-15,107,0.10505399999999909
123512814465473567897698293214312129356956456789784378293145123456263456781789879,hill_climbing,,,123512814465437567897698293514312129326954456789786378293165123456243756781789849,-10,160,0.15916499999999978
213915145456823732789467869138123234245456756796789819123712412457456935689389786,hill_climbing,,,213915145456823763789467829138123234245658756796749819123712612457456935689389784,-16,99,0.10405199999999937
127132612345459357689678894239124546465576731718893829182162741347534356659789892,hill_climbing,,,127132612345459357689678894932124546465576731718893829182162471347534356659789892,-17,70,0.06754399999999983
