initial,algorithm,heuristic,bound,final,score,explored,time
000000001030960000000005902006300000000000078014007060400000080250680009070010000,depth_first_graph_search,,100,697428531135961847648775932786352194522146378914897365461579283253684719879213456,81,2,3.021649000000025
100005020462389751000700090000070005090814000000900000020000003640008017500000000,depth_first_graph_search,,100,173645328462389751853742398816273945395814672217963874721496583649538217539127486,81,6,13.666511000000014
000008097409700000050000002008016070000090003002800600060501000000040020000023010,depth_first_graph_search,,100,123458497439762538857169432348216274676295183772834651267581949991647325584923716,81,5,10.930168999999978
000000006301000792400000000005040000000053009020907000000002005600070280080000063,depth_first_graph_search,,100,272539846351868792462739851895241637748253619123967548934682175619375284587414963,81,7,17.099720999999988
053000084000500090000100000800900050000012700000004609004230005500008007009000000,depth_first_graph_search,,100,953627184647583292648183572832966451496812738115374629774239815561498327289751346,81,2,4.590086999999983
701000056060000003040070000025010000300706000000900400000850300010000075000000900,depth_first_graph_search,,100,731498256862591743549672188625313699394786521187925437476859312913264875258137964,81,10,25.46106400000002
007003006029006405300080000080025090000401000003600000000007002700002600010000350,depth_first_graph_search,,100,547953826829716435361284179184325793276491568953678241638547912795132684412869357,81,7,13.11479200000008
009000207080001000001006900060500040002004600100020000040090103000003400800000000,depth_first_graph_search,,100,659348217787251364421746958368577749932884615174629835246795183515763492893412576,81,5,7.956304000000046
907020060000000000008090070050000043080000009000649000500001000003076008000005201,depth_first_graph_search,,100,947128365235167984268594375659712843482353129311649527574231696123976458796485231,81,7,12.21430399999997
000520000090000000500090800006000040700000000000308261060000008804007090300050700,depth_first_graph_search,,100,678523974192783654542791833286915347733646589459378261967232418824167395311459726,81,8,14.288388999999938
000060000130040008000002900700100600000207080080000005000503002910000700003006040,depth_first_graph_search,,100,259361457136945278547782956792158634664257381484639125647593812915424763823876549,81,5,11.861952999999971
008000091000500070007060000020040030900038024000002000000000943004000008590003000,depth_first_graph_search,,100,658274391442581676457961382825147639965138724783692715276855943334719258591423167,81,8,10.206876999999963
200090580809000041315784296630000000500300000197562438900000670481007000700050000,depth_first_graph_search,,100,264193587879625341315784296638479125542318167197562438953841672481237959723956814,81,4,12.647837999999979
005079030600000040000000000000000480001700050070093126000010002300004500009005600,depth_first_graph_search,,100,285479231613158749714358869992166483461782953478593126556817392327624518849235617,81,4,8.795841999999993
910250000030649050050003020020000800583976412691020030068100000040000070075000080,depth_first_graph_search,,100,917258364832649751456713928724531896583976412691428537368197245149582673275364189,81,2,6.443108000000052
000000980020805004001000020040030500008000062500016000083000000000000706002907000,depth_first_graph_search,,100,334642987726895134891493627649238571338579462577716833483151299955324716112967345,81,7,15.951731999999993
000020501000001403000630287900000054005000076417356829682743915000060738003198642,depth_first_graph_search,,100,796824561856971463144635287968217354235489176417356829682743915149562738573198642,81,6,6.578509000000054
020300900098600100003008060500000000000003897000402000800000002000007080017050340,depth_first_graph_search,,100,724314958498675123153928764582791436641563897379482516845139672936247581217856349,81,7,24.31308200000001
032904050000007980000000000000050400300000000400002800001800200050000090060309571,depth_first_graph_search,,100,632914157645217983748563622116758432325688719479132865991875244257441396864329571,81,10,23.520999999999958
090100000005000000040005300200093005000008600030600100700000210020060009306000800,depth_first_graph_search,,100,693147578185346964147985361261493785974518623834672192759834216528761439316229857,81,5,7.356572000000028
000400003005020700000800029003082000040060000000100008120906000090000600000004200,depth_first_graph_search,,100,282497153935621784476835129553582471841569372279143568124976835397218645668354297,81,7,8.734222000000045
900000005800000020107089000000070001000200009003000000000065302001823700000040590,depth_first_graph_search,,100,962437185834117926157589436689378241675216849213494657748965312591823764326741598,81,10,19.986103999999955
000000096008650003200000001000060007000020804405800002703510048002370005000000009,depth_first_graph_search,,100,134742496948651723246943781329463557677123854415897362793516248862379115551284679,81,9,14.29441600000007
000007000080020400507960000000000000200000049170000006300040010009300000008005062,depth_first_graph_search,,100,932417621981523477547968333894251133266731149173884256355646918629372885418195762,81,6,9.817026999999939
008000906009005700040001000002300040706084239000072005020040000000000481007000000,depth_first_graph_search,,100,178427956269835714643791852992356148756184239884972165821543697335269481487519623,81,1,3.217673999999988
008000256020050184000002937000095010080701090600000070050400061000600020090000740,depth_first_graph_search,,100,438917256927356184565842937474295613383761492619234578752489361141678329896123745,81,6,9.597456999999963
000009000079052006010080003308000612000208457000000938100060005000000000042003000,depth_first_graph_search,,100,836179524479352186215486793358797612961238457724645938193867245587924361642513879,81,4,3.850669000000039
006002801007105000020400000140000080000000003800030206008000005000040002500000630,depth_first_graph_search,,100,456392871987165324321478569143526789765921443895731246238717995679643112514289637,81,5,7.119174999999927
030192084000043009000008103041006708090007002005030001008005916000000005000060047,depth_first_graph_search,,100,737192684182643559964758173341526798696587432275939461428375916763414825559261347,81,6,8.71222499999999
008030500000081700000400000204060010000915406006240000305070040081300050090000630,depth_first_graph_search,,100,168732594549581763732496181254867319873915426916243875325679848681324957497158632,81,1,2.3268729999999778
900026001000083700160059020200368047000294000300517290000841300801635070050972000,depth_first_graph_search,,100,938726531524183769167459824219368547785294613346517298672841352891635472453972186,81,1,2.829254999999989
360001200400000009107000008700000025209063000504000000900016000800000900650008300,depth_first_graph_search,,100,368991254425687139197452638736149825289563471514279863943716582871325946652448317,81,3,7.399067999999943
000081000009500006000490000000008009007650080040000200073040090000010007025769030,depth_first_graph_search,,100,764381925889572416852496713336128749297654381548937251673845192984213567125769834,81,4,8.509097999999994
